"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치년도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"만경읍",651,,전라북도 김제시 만경읍 만경리 353-3,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"죽산면",689,,전라북도 김제시 죽산면 죽산리 500,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"백산면",647,,전라북도 김제시 백산면 하정리 67-3,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"용지면",704,,전라북도 김제시 용지면 구암리 361-1,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"부량면",436,,전라북도 김제시 부량면 대평리 222-1,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"공덕면",617,,전라북도 김제시 공덕면 마현리 739-3,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"청하면",535,,전라북도 김제시 청하면 동지산리 886-1,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"성덕면",560,,전라북도 김제시 성덕면 석동리 383,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"진봉면",724,,전라북도 김제시 진봉면 고사리 40-88,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"금산면",1060,,전라북도 김제시 금산면 쌍용리 468-14,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"봉남면",667,,전라북도 김제시 봉남면 대송리 565,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"황산면",578,,전라북도 김제시 황산면 봉월리 618-39,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"금구면",833,,전라북도 김제시 금구면 금구리 177-16,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"광활면",410,,전라북도 김제시 광활면 옥포리 672-2,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"요촌동",858,,전라북도 김제시 요촌동 596,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"신풍동",885,,전라북도 김제시 신풍동 188-62,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"검산동",480,,전라북도 김제시 검산동 1057-11,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"교월동",895,,전라북도 김제시 교월동 275-6,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
"백구면",643,,전라북도 김제시 백구면 반월리 311-2,,,,,063-540-3918,김제시청 도시재생과,2018-08-22
