"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
110-10(장덕리603),1,전라북도 무주군 설천면 장평길 20-10,전라북도 무주군 설천면 장덕리 603,35.98341937,127.8218499,2017,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]가당리2080-1(55-20)",1,,전라북도 무주군 부남면 가당리 2080-1,36.02972927,127.5493911,2018,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]가옥리1069(11-20)",1,,전라북도 무주군 무주읍 가옥리 1069,35.98193065,127.6451056,2018,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]공정리588-1(53-15)",1,전라북도 무주군 안성면 덕유산로 494-40,전라북도 무주군 안성면 공정리 588-1,35.85299505,127.6931092,2018,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]공정리846-6(53-16)[홀로점멸기]",1,,전라북도 무주군 안성면 공정리 846-6,35.85407833,127.6860697,2018,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]근영아파트뒤(2-96)",1,,전라북도 무주군 무주읍 읍내리 1300-13,36.01070476,127.6551117,2019,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]금평리102-1(39-23)",1,,전라북도 무주군 안성면 금평리 102-1,35.87608778,127.7005334,2018,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]금평리140-1(39-22)",1,,전라북도 무주군 안성면 금평리 140-1,35.8778764,127.6985328,2018,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]금평리466-1(39-24)",1,,전라북도 무주군 안성면 금평리 466-1,35.8783873,127.6972018,2018,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]내도리1308-3(5-20)",1,,전라북도 무주군 무주읍 내도리 1308-3,36.03345711,127.6458163,2019,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]내동마을입구(6-18)",1,,전라북도 무주군 무주읍 내도리 1142-5,36.04667554,127.6477925,2019,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]단천로192-11(1-84)",1,,전라북도 무주군 무주읍 읍내리 9-22,36.00879316,127.6728809,2019,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]단천로81-15(2-97)",1,전라북도 무주군 무주읍 단천로 81-18,전라북도 무주군 무주읍 읍내리 853-3,36.0079712,127.660611,2019,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]당산길21(3-40)",1,,전라북도 무주군 무주읍 당산리 764-11,36.00325647,127.6688801,2019,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]당산리1765-15(13-23)",1,,전라북도 무주군 무주읍 당산리 1765,36.00345009,127.6833166,2018,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]대불리364(104-13)",1,,전라북도 무주군 설천면 대불리 358-2,36.00607935,127.8350521,2019,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]대소리1542-2(95-13)",1,,전라북도 무주군 부남면 대소리 1544-1,35.97346346,127.5436836,2018,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]대차로71-9(19-25)",1,,전라북도 무주군 무주읍 대차리 1580-3,36.00685282,127.6413631,2019,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
"[신]대차리1580-3(19-26)",1,,전라북도 무주군 무주읍 대차리 94,36.00627765,127.6417705,2019,,063-320-2483,전라북도 무주군청 건설과,2023-03-07
