"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"전라북도 부안군 동진면 604",1,전라북도 부안군 동진면 매화길 62-16,전라북도 부안군 동진면 동전리 798-8,35.75627105,126.7470024,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 605",1,전라북도 부안군 동진면 매화길 62-16,전라북도 부안군 동진면 동전리 798-9,35.75627105,126.7470024,,전용주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 606",1,전라북도 부안군 동진면 동진로 145,전라북도 부안군 동진면 동전리 산 13-1,35.7530297,126.742929,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 607",1,전라북도 부안군 동진면 동진로 145,전라북도 부안군 동진면 동전리 802-17,35.7530297,126.742929,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 608",1,전라북도 부안군 동진면 동진로 145,전라북도 부안군 동진면 동전리 806-5,35.753071,126.742929,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 609",1,전라북도 부안군 동진면 동진로 146,전라북도 부안군 동진면 봉황리 177-3,35.752188,126.7437129,,전용주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 610",1,전라북도 부안군 동진면 문포로 1,전라북도 부안군 동진면 봉황리 214-1,35.7521647,126.7425202,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 611",1,전라북도 부안군 동진면 동진로 145,전라북도 부안군 동진면 봉황리 212-3,35.7530297,126.742929,,전용주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 612",1,전라북도 부안군 동진면 동진로 145,전라북도 부안군 동진면 봉황리 212-3,35.7530297,126.742929,,전용주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 613",1,전라북도 부안군 동진면 동진남로 7,전라북도 부안군 동진면 봉황리 202-13,35.751642,126.7444255,,전용주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 614",1,전라북도 부안군 동진면 봉황제내길 45,전라북도 부안군 동진면 봉황리 1089-17,35.751017,126.744635,,전용주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 615",1,전라북도 부안군 동진면 봉황제내길 35-5,전라북도 부안군 동진면 봉황리 185-4,35.751015,126.7440685,,전용주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 616",1,전라북도 부안군 동진면 봉황제내길 12,전라북도 부안군 동진면 봉황리 138-2,35.7508779,126.741855,,전용주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 617",1,전라북도 부안군 동진면 동진남로 4-1,전라북도 부안군 동진면 봉황리 213-10,35.7519196,126.7436519,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 618",1,전라북도 부안군 동진면 봉황제내길 31,전라북도 부안군 동진면 봉황리 1094,35.7503443,126.743838,,전용주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 619",1,전라북도 부안군 동진면 봉황제내길 21,전라북도 부안군 동진면 봉황리 1089-27,35.750631,126.7429208,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 620",1,전라북도 부안군 동진면 봉황제내길 19-4,전라북도 부안군 동진면 봉황리 152,35.7509015,126.7429006,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 621",1,전라북도 부안군 동진면 지비길 18,전라북도 부안군 동진면 봉황리 1447,35.75157272,126.7252187,,전용주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 622",1,전라북도 부안군 동진면 익상길 26,전라북도 부안군 동진면 봉황리 174-3,35.7510497,126.7416455,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 623",1,전라북도 부안군 동진면 동진로 125,전라북도 부안군 동진면 봉황리 1089-27,35.7518259,126.7416799,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 624",1,전라북도 부안군 동진면 익상길 24,전라북도 부안군 동진면 봉황리 311-1,35.7505735,126.7411057,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 625",1,전라북도 부안군 동진면 익상길 10-5,전라북도 부안군 동진면 봉황리 1089-27,35.75018263,126.740421,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 626",1,전라북도 부안군 동진면 익상길 5,전라북도 부안군 동진면 봉황리 1089-27,35.750076,126.7398342,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 627",1,전라북도 부안군 동진면 익상길 10-7,전라북도 부안군 동진면 봉황리 328,35.750085,126.7407291,,전용주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 628",1,전라북도 부안군 동진면 익상길 8-11,전라북도 부안군 동진면 봉황리 1089-27,35.74937569,126.740791,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 629",1,전라북도 부안군 동진면 익상길 8-32,전라북도 부안군 동진면 봉황리 1089-27,35.749436,126.7417774,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 630",1,전라북도 부안군 동진면 익상길 8-10,전라북도 부안군 동진면 봉황리 349,35.749366,126.7395059,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 631",1,전라북도 부안군 동진면 익상길 3,전라북도 부안군 동진면 봉황리 314-2,35.7501599,126.7395934,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 632",1,전라북도 부안군 동진면 동진로 94,전라북도 부안군 동진면 봉황리 320-2,35.7498752,126.7393124,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 633",1,전라북도 부안군 동진면 동진로 102,전라북도 부안군 동진면 봉황리 314-3,35.7504342,126.7395943,,전용주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 634",1,전라북도 부안군 동진면 동진로 101-42,전라북도 부안군 동진면 봉황리 287-11,35.75140218,126.7359969,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 635",1,전라북도 부안군 동진면 동진로 101-40,전라북도 부안군 동진면 봉황리 282-17,35.75144592,126.7362135,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 636",1,전라북도 부안군 동진면 동진로 101-8,전라북도 부안군 동진면 봉황리 295-3,35.7507782,126.7384457,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 637",1,전라북도 부안군 동진면 동진로 99,전라북도 부안군 동진면 봉황리 315-6,35.7503907,126.7390544,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 638",1,전라북도 부안군 동진면 동진로 117,전라북도 부안군 동진면 봉황리 303-2,35.75146995,126.7406315,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 639",1,전라북도 부안군 동진면 익상샛터길 3,전라북도 부안군 동진면 봉황리 303-12,35.7514415,126.7400793,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 동진면 640",1,전라북도 부안군 동진면 익상샛터길 9-2,전라북도 부안군 동진면 봉황리 304-6,35.7519148,126.7396616,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 백산면 573",1,전라북도 부안군 백산면 산전길 42,전라북도 부안군 백산면 거룡리 674,35.699998,126.806693,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
"전라북도 부안군 백산면 574",1,전라북도 부안군 백산면 산전길 40,전라북도 부안군 백산면 거룡리 674,35.7000716,126.806454,,한전주,063-580-4643,전라북도 부안군청,2023-07-10
