"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"구림101",1,,전라북도 순창군 구림면 운남리 35-2,35.455178,127.1055718,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림102",1,,전라북도 순창군 구림면 운남리 350-1,35.454295,127.1053358,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림103",1,,전라북도 순창군 구림면 운남리 347-1,35.4536419,127.1050762,,한전주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림104",1,,전라북도 순창군 구림면 운남리 344-5,35.453147,127.1048441,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림105",1,,전라북도 순창군 구림면 운남리 312-5,35.453881,127.1044544,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림106",1,,전라북도 순창군 구림면 운남리 302-2,35.453688,127.104021,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림107",1,,전라북도 순창군 구림면 운남리 295,35.453426,127.103771,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림108",1,,전라북도 순창군 구림면 운남리 326-3,35.453098,127.104162,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림109",1,,전라북도 순창군 구림면 운남리 319,35.4534162,127.1044243,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림110",1,,전라북도 순창군 구림면 운남리 344-1,35.4531053,127.1045523,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림111",1,,전라북도 순창군 구림면 운남리 337-16,35.4522856,127.104647,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림112",1,,전라북도 순창군 구림면 운남리 258-1,35.452059,127.1035738,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림113",1,,전라북도 순창군 구림면 운남리 257-1,35.45158892,127.1033929,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림114",1,,전라북도 순창군 구림면 운남리 256-4,35.4512858,127.1038663,,한전주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림115",1,,전라북도 순창군 구림면 운남리 339-1,35.4515333,127.1041863,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림116",1,,전라북도 순창군 구림면 운남리 339-1,35.4515333,127.1041863,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림117",1,,전라북도 순창군 구림면 운남리 52,35.4522011,127.1085456,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림118",1,,전라북도 순창군 구림면 운남리 255-4,35.4511573,127.1034381,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림119",1,,전라북도 순창군 구림면 운남리 255-4,35.4511573,127.1034381,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림120",1,,전라북도 순창군 구림면 운남리 255-3,35.4513249,127.1033074,,한전주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
"구림121",1,,전라북도 순창군 구림면 운남리 259-6,35.45151012,127.102798,,전용주,063-650-5803,전라북도 순창군 구림면사무소,2022-06-15
