"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"경천면159",1,,전라북도 완주군 경천면 가천리 1023,36.0536846,127.2923879,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면160",1,,전라북도 완주군 경천면 가천리 1031-3,36.05302151,127.2930837,,전용주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면161",1,,전라북도 완주군 경천면 가천리 1033-3,36.05229283,127.2940157,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면176",1,,전라북도 완주군 경천면 가천리 1093,36.06520795,127.2758571,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면114",1,,전라북도 완주군 경천면 가천리 1124,36.02970298,127.2920383,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면199",1,,전라북도 완주군 경천면 가천리 1124-101,36.0364061,127.2795704,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면182",1,,전라북도 완주군 경천면 가천리 1124-103,36.02915761,127.3015611,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면262",1,,전라북도 완주군 경천면 가천리 1124-19,36.03965617,127.2657161,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면128",1,,전라북도 완주군 경천면 가천리 1124-30,36.04084246,127.2695074,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면129",1,,전라북도 완주군 경천면 가천리 1124-36,36.04108532,127.271999,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면215",1,,전라북도 완주군 경천면 가천리 1124-81,36.03883871,127.2634863,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면163",1,,전라북도 완주군 경천면 가천리 1133,36.05516901,127.2930599,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면185",1,,전라북도 완주군 경천면 가천리 1137,36.02923608,127.2915971,,전용주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면3",1,,전라북도 완주군 경천면 가천리 1142,36.05161086,127.2857196,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면203",1,,전라북도 완주군 경천면 가천리 1151,36.03581753,127.2823938,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면177",1,,전라북도 완주군 경천면 가천리 1154,36.06653528,127.2753478,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면173",1,,전라북도 완주군 경천면 가천리 1156,36.06015323,127.2760073,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면154",1,,전라북도 완주군 경천면 가천리 1163,36.04909213,127.2741319,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면145",1,,전라북도 완주군 경천면 가천리 1164,36.05244321,127.2696024,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면141",1,,전라북도 완주군 경천면 가천리 1167,36.05164317,127.2706081,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면133",1,,전라북도 완주군 경천면 가천리 1173,36.04467702,127.2719327,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면126",1,,전라북도 완주군 경천면 가천리 1175,36.0405569,127.2725254,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면212",1,,전라북도 완주군 경천면 가천리 1176,36.03332991,127.2624361,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면209",1,,전라북도 완주군 경천면 가천리 1177,36.03715203,127.2689381,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면236",1,,전라북도 완주군 경천면 가천리 1182,36.03317947,127.2623846,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면245",1,,전라북도 완주군 경천면 가천리 1192,36.03046321,127.2591073,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면189",1,,전라북도 완주군 경천면 가천리 119-2,36.03048865,127.2936355,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면157",1,,전라북도 완주군 경천면 가천리 1193,36.05373587,127.2891224,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면186",1,,전라북도 완주군 경천면 가천리 127,36.02988466,127.2907193,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면190",1,,전라북도 완주군 경천면 가천리 136-1,36.03122195,127.2891447,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면193",1,,전라북도 완주군 경천면 가천리 146,36.03343243,127.286031,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면196",1,,전라북도 완주군 경천면 가천리 151,36.03415697,127.2867236,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면195",1,,전라북도 완주군 경천면 가천리 153-6,36.03405733,127.286478,,전용주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면194",1,,전라북도 완주군 경천면 가천리 153-7,36.0337671,127.2867882,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면197",1,,전라북도 완주군 경천면 가천리 156-5,36.0345156,127.2843692,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면198",1,,전라북도 완주군 경천면 가천리 157,36.03473336,127.283957,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
"경천면201",1,,전라북도 완주군 경천면 가천리 161-4,36.03485336,127.2809216,,한전주,063-290-2913,전라북도 완주군청,2023-08-16
