"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"전라북도 익산시 송학동 412-2",1,,전라북도 익산시 송학동 412-2,35.937099,126.922868,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 목천동 64-11",1,,전라북도 익산시 목천동 64-11,35.936472,126.922441,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 목천동 65-39",1,,전라북도 익산시 목천동 65-39,35.936028,126.922152,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 목천동 65-39",1,,전라북도 익산시 목천동 65-39,35.935485,126.921792,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 목천동 67-25",1,,전라북도 익산시 목천동 67-25,35.933873,126.920661,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 목천동 67-26",1,,전라북도 익산시 목천동 67-26,35.932839,126.919947,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 목천동 69-27",1,,전라북도 익산시 목천동 69-27,35.931486,126.919001,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 목천동 70-29",1,,전라북도 익산시 목천동 70-29,35.930494,126.918309,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 목천동 71-30",1,,전라북도 익산시 목천동 71-30,35.929491,126.917609,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 목천동 72-31",1,,전라북도 익산시 목천동 72-31,35.928409,126.916857,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 만석동 123-45",1,,전라북도 익산시 만석동 123-45,35.965092,126.930959,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 인화동1가 88-11",1,,전라북도 익산시 인화동1가 88-11,35.934141,126.952869,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 황등면 율촌리 793-9",1,,전라북도 익산시 황등면 율촌리 793-9,36.023654,126.954916,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 왕궁면 흥암리 745-3",1,,전라북도 익산시 왕궁면 흥암리 745-3,35.957977,127.076612,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 금강동 365-7",1,,전라북도 익산시 금강동 365-7,35.937762,126.977869,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 황등면 율촌리 443-22",1,,전라북도 익산시 황등면 율촌리 443-22,36.011506,126.950683,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 마동 351-2",1,,전라북도 익산시 마동 351-2,35.935525,126.963776,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 용동면 흥왕리 산 34-3",1,,전라북도 익산시 용동면 흥왕리 산 34-3,36.098633,127.009711,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 용동면 구산리 344-44",1,,전라북도 익산시 용동면 구산리 344-44,36.138733,126.967141,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 용동면 화실리 629-2",1,,전라북도 익산시 용동면 화실리 629-2,36.098714,126.989334,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 용동면 대조리 9-5",1,,전라북도 익산시 용동면 대조리 9-5,36.116278,127.017747,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 용동면 대조리 904-31",1,,전라북도 익산시 용동면 대조리 904-31,36.110384,127.016263,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 용동면 용성리 157-13",1,,전라북도 익산시 용동면 용성리 157-13,36.111664,126.986222,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 석왕동 328-1",1,,전라북도 익산시 석왕동 328-1,35.980101,127.009688,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 용제동 540-1",1,,전라북도 익산시 용제동 540-1,35.949821,126.995281,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 석암동 394-6",1,,전라북도 익산시 석암동 394-6,35.945021,127.010051,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 영등동 산 86-18",1,,전라북도 익산시 영등동 산 86-18,35.951408,126.973391,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 영등동 548-17",1,,전라북도 익산시 영등동 548-17,35.946799,126.967257,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 영등동 529-164",1,,전라북도 익산시 영등동 529-164,35.950867,126.965265,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 신용동 303",1,,전라북도 익산시 신용동 303,35.979257,126.949796,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 현영동 195-21",1,,전라북도 익산시 현영동 195-21,35.973354,126.930453,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 신동 793-20",1,,전라북도 익산시 신동 793-20,35.963026,126.954338,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 신용동 641-1",1,,전라북도 익산시 신용동 641-1,35.974257,126.947227,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 신동 733-39",1,,전라북도 익산시 신동 733-39,35.958383,126.955418,,,063-859-5918,전라북도 익산시청,2022-09-17
"전라북도 익산시 신동 861",1,,전라북도 익산시 신동 861,35.959766,126.963223,,,063-859-5918,전라북도 익산시청,2022-09-17
