"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"관촌면 회봉리 467",1,,전라북도 임실군 관촌면 회봉리 467,35.77110533,127.267763,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 회봉리 505",1,,전라북도 임실군 관촌면 회봉리 505,35.77073358,127.2672439,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 회봉리 산7",1,,전라북도 임실군 관촌면 회봉리 산7,35.77053365,127.2642208,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 회봉리 431-6",1,,전라북도 임실군 관촌면 회봉리 431-6,35.7648318,127.2648041,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 회봉리 393-7",1,,전라북도 임실군 관촌면 회봉리 393-7,35.75635799,127.2720141,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 회봉리 387-1",1,,전라북도 임실군 관촌면 회봉리 387-1,35.75575119,127.2730259,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 회봉리 377-3",1,,전라북도 임실군 관촌면 회봉리 377-3,35.75559116,127.2733923,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 400",1,,전라북도 임실군 관촌면 상월리 400,35.75425102,127.2602956,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 188-24",1,,전라북도 임실군 관촌면 상월리 188-24,35.7470058,127.2592957,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 177-1",1,,전라북도 임실군 관촌면 상월리 177-1,35.74592498,127.2579569,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 188-28",1,,전라북도 임실군 관촌면 상월리 188-28,35.74563266,127.2587783,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 168-2",1,,전라북도 임실군 관촌면 상월리 168-2,35.74528289,127.2575918,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 182-2",1,,전라북도 임실군 관촌면 상월리 182-2,35.74514107,127.2580096,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 166-1",1,전라북도 임실군 관촌면 상월2길 10,전라북도 임실군 관촌면 상월리 166-1,35.74518204,127.2573335,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 407",1,,전라북도 임실군 관촌면 상월리 407,35.7464939,127.2539002,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 154-1",1,전라북도 임실군 관촌면 상월2길 17,전라북도 임실군 관촌면 상월리 154-1,35.74462032,127.2568633,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 187-1",1,,전라북도 임실군 관촌면 상월리 187-1,35.74457503,127.2583071,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 209",1,,전라북도 임실군 관촌면 상월리 209,35.7433119,127.259551,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 205-1",1,,전라북도 임실군 관촌면 상월리 205-1,35.74305071,127.2580433,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 215-2",1,전라북도 임실군 관촌면 상월1길 12,전라북도 임실군 관촌면 상월리 215-2,35.7427323,127.2591031,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 201-2",1,,전라북도 임실군 관촌면 상월리 201-2,35.74254857,127.2585409,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 396",1,전라북도 임실군 관촌면 상월로 817,전라북도 임실군 관촌면 상월리 396,35.74748314,127.259236,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 97",1,,전라북도 임실군 관촌면 상월리 97,35.74204372,127.2585235,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 409",1,전라북도 임실군 관촌면 상월로 758,전라북도 임실군 관촌면 상월리 409,35.74224925,127.2582341,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 상월리 90-4",1,,전라북도 임실군 관촌면 상월리 90-4,35.74157689,127.2589832,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 회봉리 264-2",1,,전라북도 임실군 관촌면 회봉리 264-2,35.73436813,127.2844098,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 회봉리 263-5",1,,전라북도 임실군 관촌면 회봉리 263-5,35.73393899,127.2851208,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 회봉리 481-1",1,,전라북도 임실군 관촌면 회봉리 481-1,35.73414706,127.2840056,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 회봉리 223-2",1,,전라북도 임실군 관촌면 회봉리 223-2,35.73326433,127.2852731,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 회봉리 481-5",1,,전라북도 임실군 관촌면 회봉리 481-5,35.73207928,127.2862114,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
"관촌면 회봉리 481-12",1,,전라북도 임실군 관촌면 회봉리 481-12,35.73272024,127.2862902,,전용주,063-640-2543,전라북도 임실군청,2022-11-14
