"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
1,1,,전라북도 장수군 계남면 1302,35.7386405,127.5730072,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
2,1,,전라북도 장수군 계남면 80-1,35.6998729,127.5738473,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
3,1,,전라북도 장수군 계남면 가곡리 196-6,35.6677557,127.5817073,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
4,1,,전라북도 장수군 계남면 가곡리 198-8,35.6750708,127.5930604,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
5,1,,전라북도 장수군 계남면 가곡리 25-2,35.6788057,127.5886778,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
6,1,,전라북도 장수군 계남면 가곡리 275,35.6739357,127.5852673,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
7,1,,전라북도 장수군 계남면 가곡리 280,35.674304,127.5849008,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
8,1,,전라북도 장수군 계남면 가곡리 286,35.6742687,127.585133,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
9,1,,전라북도 장수군 계남면 가곡리 299,35.6750644,127.585858,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
10,1,,전라북도 장수군 계남면 가곡리 334,35.674114,127.584388,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
11,1,,전라북도 장수군 계남면 가곡리 385-3,35.6783232,127.580982,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
12,1,,전라북도 장수군 계남면 가곡리 41-1,35.6792922,127.5886201,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
13,1,,전라북도 장수군 계남면 가곡리 425,35.6797138,127.5906728,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
14,1,,전라북도 장수군 계남면 가곡리 438-2,35.680142,127.589367,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
15,1,,전라북도 장수군 계남면 가곡리 440-1,35.6800622,127.589743,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
16,1,,전라북도 장수군 계남면 가곡리 444-1,35.6802716,127.5903717,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
17,1,,전라북도 장수군 계남면 가곡리 458-3,35.6788919,127.5848992,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
18,1,,전라북도 장수군 계남면 가곡리 508-1,35.6802217,127.5809834,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
19,1,,전라북도 장수군 계남면 가곡리 641-7,35.6763814,127.5783393,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
20,1,,전라북도 장수군 계남면 가곡리 682,35.6697482,127.578847,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
21,1,,전라북도 장수군 계남면 가곡리 712,35.6688202,127.5765672,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
22,1,,전라북도 장수군 계남면 가곡리 731,35.6703922,127.5814934,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
23,1,,전라북도 장수군 계남면 가곡리 796,35.6802175,127.5850913,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
24,1,,전라북도 장수군 계남면 가곡리 804,35.6795975,127.5856468,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
25,1,,전라북도 장수군 계남면 가곡리 804-1,35.6794287,127.5862771,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
26,1,,전라북도 장수군 계남면 가곡리 830,,127.5821983,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
27,1,,전라북도 장수군 계남면 가곡리 924,35.6802834,127.5832681,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
28,1,,전라북도 장수군 계남면 가곡리 933,35.6769343,127.5818051,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
29,1,,전라북도 장수군 계남면 가곡리 산55-4,35.677905,127.5799895,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
30,1,,전라북도 장수군 계남면 가곡리 산64-10,35.6635917,127.5742214,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
31,1,,전라북도 장수군 계남면 가곡리 산7-2,35.6681135,127.5835804,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
32,1,,전라북도 장수군 계남면 궁양리 1000,35.6751822,127.5913366,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
33,1,,전라북도 장수군 계남면 궁양리 1054,35.6712869,127.5935987,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
34,1,,전라북도 장수군 계남면 궁양리 1062,35.6713872,127.5914985,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
35,1,,전라북도 장수군 계남면 궁양리 1092,35.6845793,127.5874883,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
36,1,,전라북도 장수군 계남면 궁양리 1104,35.6733053,127.5918708,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
37,1,,전라북도 장수군 계남면 궁양리 1115,35.6708608,127.5901766,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
38,1,,전라북도 장수군 계남면 궁양리 167-6,35.6744361,127.5940609,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
39,1,,전라북도 장수군 계남면 궁양리 181-1,35.6753423,127.5933794,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
40,1,,전라북도 장수군 계남면 궁양리 181-8,35.6756476,127.5930133,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
41,1,,전라북도 장수군 계남면 궁양리 187-4,35.6766042,127.5921136,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
42,1,,전라북도 장수군 계남면 궁양리 187-7,35.6759502,127.5926489,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
43,1,,전라북도 장수군 계남면 궁양리 198-2,35.6747988,127.5925647,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
44,1,,전라북도 장수군 계남면 궁양리 228-1,35.6746388,127.5932393,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
45,1,,전라북도 장수군 계남면 궁양리 228-8,35.6744215,127.5929422,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
46,1,,전라북도 장수군 계남면 궁양리 273-6,35.6805915,127.5894334,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
47,1,,전라북도 장수군 계남면 궁양리 291,35.6700278,127.5948031,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
48,1,,전라북도 장수군 계남면 궁양리 377-1,35.6746913,127.5917652,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
49,1,,전라북도 장수군 계남면 궁양리 412,35.6801696,127.5907679,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
50,1,,전라북도 장수군 계남면 궁양리 479-3,35.6812835,127.5890133,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
51,1,,전라북도 장수군 계남면 궁양리 519-4,35.6833089,127.5876495,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
52,1,,전라북도 장수군 계남면 궁양리 522,35.6832559,127.587948,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
53,1,,전라북도 장수군 계남면 궁양리 536-1,35.6836668,127.5894926,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
54,1,,전라북도 장수군 계남면 궁양리 573-1,35.6842216,127.5909702,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
55,1,,전라북도 장수군 계남면 궁양리 605-1,35.6838889,127.5885414,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
56,1,,전라북도 장수군 계남면 궁양리 665-1,35.6858775,127.584859,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
57,1,,전라북도 장수군 계남면 궁양리 816-4,35.686378,127.5848247,,한전주,063-350-2592,장수군청 건설교통과,2021-10-12
