"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"노송동001",1,"전라북도 전주시 완산구 기린대로 242, (서노송동)",전라북도 전주시 완산구 서노송동 663-11,35.82814218,127.1448901,2014,한전주,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동002",1,"전라북도 전주시 완산구 기린대로 240-12, (서노송동)",전라북도 전주시 완산구 서노송동 666-29,35.82825965,127.1449331,2014,한전주,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동003",1,"전라북도 전주시 완산구 기린대로 240-11, (서노송동)",전라북도 전주시 완산구 서노송동 666-28,35.82828575,127.1448025,2014,한전주,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동004",1,"전라북도 전주시 완산구 기린대로 248-7, (서노송동)",전라북도 전주시 완산구 서노송동 664-6,35.8285453,127.1445426,2014,건축물,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동005",1,,전라북도 전주시 완산구 서노송동 664-1,35.82858229,127.1446751,2014,건축물,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동006",1,,전라북도 전주시 완산구 서노송동 669-6,35.82863778,127.1448737,2014,한전주,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동007",1,"전라북도 전주시 완산구 반촌로 5-10, (서노송동)",전라북도 전주시 완산구 서노송동 668-19,35.82845848,127.1450084,2014,건축물,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동008",1,"전라북도 전주시 완산구 반촌로 5-8, (서노송동)",전라북도 전주시 완산구 서노송동 668-8,35.82821655,127.1452102,2014,한전주,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동009",1,"전라북도 전주시 완산구 반촌로 5-6, (서노송동)",전라북도 전주시 완산구 서노송동 668-9,35.82813607,127.1453043,2014,한전주,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동010",1,"전라북도 전주시 완산구 반촌로 5-3, (서노송동)",전라북도 전주시 완산구 서노송동 666-1,35.82792823,127.1452244,2014,건축물,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동011",1,"전라북도 전주시 완산구 반촌로 8-1, (서노송동)",전라북도 전주시 완산구 서노송동 676-2,35.82774282,127.1457687,2014,건축물,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동012",1,"전라북도 전주시 완산구 반촌로 8-3, (서노송동)",전라북도 전주시 완산구 서노송동 680-3,35.82765442,127.1460131,2014,건축물,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동013",1,"전라북도 전주시 완산구 기린대로 232, (서노송동)",전라북도 전주시 완산구 서노송동 685-1,35.82713115,127.1459412,2014,한전주,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동014",1,"전라북도 전주시 완산구 권삼득로 59, (서노송동)",전라북도 전주시 완산구 서노송동 689-12,35.82701102,127.1467947,2014,한전주,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동015",1,"전라북도 전주시 완산구 기린대로 212, (서노송동)",전라북도 전주시 완산구 서노송동 568-84,35.82605719,127.1470152,2014,한전주,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동016",1,"전라북도 전주시 완산구 기린대로 167, (서노송동)",전라북도 전주시 완산구 서노송동 568-8,35.82286825,127.1498049,2014,한전주,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동017",1,"전라북도 전주시 완산구 노송여울2길 14-2, (서노송동)",전라북도 전주시 완산구 서노송동 619-29,35.8245659,127.1464335,2014,건축물,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동018",1,"전라북도 전주시 완산구 노송여울1길 7-2, (서노송동)",전라북도 전주시 완산구 서노송동 631-25,35.82404945,127.1460517,2014,건축물,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동019",1,"전라북도 전주시 완산구 노송여울2길 24-3, (서노송동)",전라북도 전주시 완산구 서노송동 630-8,35.82462444,127.145791,2014,건축물,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동020",1,"전라북도 전주시 완산구 노송여울2길 24-9, (서노송동)",전라북도 전주시 완산구 서노송동 624-19,35.82477961,127.146066,2014,한전주,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동021",1,"전라북도 전주시 완산구 노송광장로 41-5, (서노송동)",전라북도 전주시 완산구 서노송동 619-10,35.82461888,127.146278,2014,건축물,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동022",1,"전라북도 전주시 완산구 팔달로 286-13, (서노송동)",전라북도 전주시 완산구 서노송동 660-61,35.82813781,127.1430086,2014,전용주,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동024",1,"전라북도 전주시 완산구 팔달로 292-4, (서노송동)",전라북도 전주시 완산구 서노송동 659-6,35.82793867,127.142889,2014,건축물,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동025",1,"전라북도 전주시 완산구 팔달로 288, (서노송동)",전라북도 전주시 완산구 서노송동 660-46,35.82766133,127.1431797,2014,한전주,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동026",1,"전라북도 전주시 완산구 팔달로 286-6, (서노송동)",전라북도 전주시 완산구 서노송동 660-47,35.82774544,127.1436019,2014,한전주,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동027",1,"전라북도 전주시 완산구 팔달로 286-18, (서노송동)",전라북도 전주시 완산구 서노송동 661-3,35.82778385,127.143931,2014,한전주,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동028",1,,전라북도 전주시 완산구 서노송동 660-71,35.82818768,127.1436832,2014,건축물,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동029",1,"전라북도 전주시 완산구 기린대로 233-14, (서노송동)",전라북도 전주시 완산구 서노송동 662-18,35.82710504,127.1448016,2014,한전주,063-220-5444,전라북도 전주시 완산구청,2023-07-04
"노송동030",1,,전라북도 전주시 완산구 서노송동 662-10,35.82717222,127.1445394,2014,건축물,063-220-5444,전라북도 전주시 완산구청,2023-07-04
