"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
2산단1길27(015),1,,전라북도 정읍시 하북동 861-2,35.59434945,126.8646248,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
2산단1길29(016),1,,전라북도 정읍시 하북동 861-2,35.59434945,126.8646272,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
2산단1길33(017),1,,전라북도 정읍시 하북동 861-2,35.59434945,126.8646248,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
2산단1길37(018),1,,전라북도 정읍시 하북동 861-1,35.5946207,126.8645135,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
2산단1길39(019),1,,전라북도 정읍시 하북동 861-1,35.5946207,126.8645135,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
2산단1길41(021),1,,전라북도 정읍시 하북동 869,35.59447292,126.8703691,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
2산단1길43(022),1,,전라북도 정읍시 하북동 869,35.59447292,126.8703691,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
2산단3길22(009),1,,전라북도 정읍시 장명동 산88-1,35.56040585,126.8935393,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
3산단3길9(001),1,,전라북도 정읍시 북면 태곡리 938,35.61316038,126.9107052,,한전주,063-539-5804,전라북도 정읍시청,2023-05-22
"가곡길15(002)",1,,전라북도 정읍시 영파동 93-3,35.61219239,126.8612401,,한전주,063-539-5804,전라북도 정읍시청,2023-05-22
"가곡길17(003)",1,,전라북도 정읍시 영파동 92,35.61225491,126.860942,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
"가곡길23(004)",1,,전라북도 정읍시 영파동 80-1,35.61232621,126.8604662,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
"가곡길33(005)",1,,전라북도 정읍시 영파동 67,35.61283447,126.8601514,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
"가곡길39(006)",1,,전라북도 정읍시 영파동 50,35.61291487,126.8589156,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
"가곡길51(007)",1,,전라북도 정읍시 영파동 59-1,35.61232493,126.8587143,,한전주,063-539-5804,전라북도 정읍시청,2023-05-22
"가곡길9(001)",1,,전라북도 정읍시 영파동 101-1,35.61241793,126.8617645,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
"가리대1길1(001)",1,,전라북도 정읍시 입암면 하부리 2328-18,35.50508162,126.8035336,,한전주,063-539-5804,전라북도 정읍시청,2023-05-22
"가리대1길131(004)",1,,전라북도 정읍시 입암면 하부리 1011,35.51072253,126.8070218,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
"가리대1길141(005)",1,,전라북도 정읍시 입암면 하부리 1009,35.51121954,126.8063346,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
"가리대1길56(001)",1,,전라북도 정읍시 입암면 하부리 395-11,35.50943645,126.804561,,한전주,063-539-5804,전라북도 정읍시청,2023-05-22
"가리대1길61(002)",1,,전라북도 정읍시 입암면 하부리 1034,35.51002266,126.8054877,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
"가리대1길73(003)",1,,전라북도 정읍시 입암면 하부리 1038,35.50969961,126.8064873,,한전주,063-539-5804,전라북도 정읍시청,2023-05-22
"가리대2길19(001)",1,,전라북도 정읍시 입암면 하부리 467-14,35.50579129,126.8001336,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
"가리대2길31(002)",1,,전라북도 정읍시 입암면 하부리 487-2,35.50758263,126.799664,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
"가리대2길31(003)",1,,전라북도 정읍시 입암면 하부리 488-3,35.50704837,126.7994649,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
"가리대2길31(004)",1,,전라북도 정읍시 입암면 하부리 2323-2,35.50675379,126.8000016,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
"가리대2길37(005)",1,,전라북도 정읍시 입암면 하부리 2323-2,35.50675379,126.8000016,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
"가리대2길47(006)",1,,전라북도 정읍시 입암면 하부리 2316-1,35.50829429,126.8005083,,한전주,063-539-5804,전라북도 정읍시청,2023-05-22
"가전길1(001)",1,,전라북도 정읍시 북면 한교리 35-8,35.60943645,126.9032685,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
"가전길101(012)",1,,전라북도 정읍시 북면 화해리 산34,35.61272814,126.8811844,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
"가전길102(013)",1,,전라북도 정읍시 북면 화해리 산34,35.61272814,126.8811844,,한전주,063-539-5804,전라북도 정읍시청,2023-05-22
"가전길108(014)",1,,전라북도 정읍시 북면 화해리 570-5,35.61408126,126.8812968,,전용주,063-539-5804,전라북도 정읍시청,2023-05-22
"가전길109(015)",1,,전라북도 정읍시 북면 화해리 203-3,35.61298703,126.8804999,,한전주,063-539-5804,전라북도 정읍시청,2023-05-22
"가전길114(016)",1,,전라북도 정읍시 북면 화해리 567,35.6150459,126.8815773,,한전주,063-539-5804,전라북도 정읍시청,2023-05-22
"가전길114(017)",1,,전라북도 정읍시 북면 화해리 542-31,35.6142388,126.8806567,,한전주,063-539-5804,전라북도 정읍시청,2023-05-22
