"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"진안읍 1247",1,,전라북도 진안군 진안읍 연장리 1992,35.7628106,127.3656141,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1362",1,,전라북도 진안군 진안읍 군상리 산 124-6,35.80077784,127.4146002,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1340",1,,전라북도 진안군 진안읍 군상리 1162-16,35.79813153,127.4198743,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1339",1,,전라북도 진안군 진안읍 정곡리 산 80,35.77790754,127.4046361,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1325",1,전라북도 진안군 진안읍 마이산로 77-10,전라북도 진안군 진안읍 단양리 593-16,35.77972412,127.4200651,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1303",1,,전라북도 진안군 진안읍 가막리 857-1,35.78476277,127.5014264,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 0668",1,,전라북도 진안군 진안읍 단양리 624-1,35.77366029,127.4141317,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 014",1,,전라북도 진안군 진안읍 반월리 1520,35.76668958,127.4462456,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1398",1,,전라북도 진안군 진안읍 가림리 1447,35.74502523,127.414387,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 2027",1,,전라북도 진안군 진안읍 가림리 1519-3,35.74684218,127.4129421,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1470",1,,전라북도 진안군 진안읍 단양리 37-1,35.77618243,127.4309702,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1469",1,,전라북도 진안군 진안읍 연장리 383-1,35.77570123,127.3925965,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1468",1,,전라북도 진안군 진안읍 연장리 1876-3,35.76684368,127.3674923,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1467",1,,전라북도 진안군 진안읍 반월리 365,35.76425693,127.4464145,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1466",1,,전라북도 진안군 진안읍 단양리 260-12,35.78515935,127.4257113,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1465",1,전라북도 진안군 진안읍 마이산로 179,전라북도 진안군 진안읍 단양리 820,35.7706328,127.415183,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1464",1,,전라북도 진안군 진안읍 단양리 457-3,35.77018227,127.4165435,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1463",1,전라북도 진안군 진안읍 마이산로 179,전라북도 진안군 진안읍 단양리 820,35.77067295,127.415183,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1462",1,전라북도 진안군 진안읍 소토실길 133,전라북도 진안군 진안읍 물곡리 1523,35.76686383,127.4748913,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1461",1,,전라북도 진안군 진안읍 반월리 1288,35.76238807,127.4399627,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1460",1,전라북도 진안군 진안읍 전진로 3183-77,전라북도 진안군 진안읍 정곡리 8,35.7899309,127.4105822,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1459",1,,전라북도 진안군 진안읍 운산리 543-2,35.812894,127.4516156,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1458",1,,전라북도 진안군 진안읍 죽산리 산 100-3,35.7536627,127.4876886,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1457",1,전라북도 진안군 진안읍 진장로 400,전라북도 진안군 진안읍 물곡리 1161,35.78245121,127.4644068,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1456",1,,전라북도 진안군 진안읍 구룡리 1020-11,35.77273096,127.4614785,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1455",1,,전라북도 진안군 진안읍 구룡리 1155,35.77939418,127.439742,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1454",1,,전라북도 진안군 진안읍 구룡리 1158,35.77766615,127.4412876,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1453",1,,전라북도 진안군 진안읍 군상리 1162-16,35.79813153,127.4198743,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1452",1,,전라북도 진안군 진안읍 군상리 산 132-2,35.80216513,127.4095116,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1451",1,,전라북도 진안군 진안읍 군상리 895-6,35.79521234,127.4227436,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1450",1,,전라북도 진안군 진안읍 연장리 398-1,35.77810913,127.3906833,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1449",1,,전라북도 진안군 진안읍 반월리 1280-2,35.75553973,127.4389546,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1448",1,,전라북도 진안군 진안읍 군상리 706,35.80614671,127.4221886,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1447",1,,전라북도 진안군 진안읍 군상리 23-4,35.80172098,127.4427427,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1446",1,,전라북도 진안군 진안읍 운산리 604-1,35.81550553,127.4496577,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1445",1,,전라북도 진안군 진안읍 운산리 1284,35.81600537,127.4400604,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1444",1,,전라북도 진안군 진안읍 군상리 3-3,35.80157468,127.4437022,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1443",1,,전라북도 진안군 진안읍 연장리 456-1,35.77282031,127.3929728,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1442",1,전라북도 진안군 진안읍 대연장길 89-8,전라북도 진안군 진안읍 연장리 724,35.77936214,127.3799747,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1441",1,,전라북도 진안군 진안읍 연장리 1622-260,35.76486615,127.3722433,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1440",1,전라북도 진안군 진안읍 개실길 37,전라북도 진안군 진안읍 정곡리 101-1,35.78501382,127.4067629,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1439",1,,전라북도 진안군 진안읍 오천리 588-9,35.77815559,127.4946285,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1438",1,,전라북도 진안군 진안읍 물곡리 1668,35.78036322,127.4698198,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1437",1,,전라북도 진안군 진안읍 물곡리 962-1,35.78740861,127.4684452,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1436",1,,전라북도 진안군 진안읍 구룡리 719-8,35.78618977,127.4441615,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1435",1,,전라북도 진안군 진안읍 구룡리 818-2,35.78271489,127.4433316,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1434",1,,전라북도 진안군 진안읍 구룡리 337-2,35.76932644,127.4568246,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1433",1,,전라북도 진안군 진안읍 단양리 955,35.76965923,127.4228872,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1432",1,,전라북도 진안군 진안읍 가림리 1940,35.74130367,127.4426106,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1431",1,,전라북도 진안군 진안읍 가림리 산 79,35.73967187,127.4491608,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1430",1,,전라북도 진안군 진안읍 가림리 1852,35.75321883,127.4229358,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1429",1,,전라북도 진안군 진안읍 반월리 1653,35.76061711,127.4264691,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1428",1,,전라북도 진안군 진안읍 단양리 727,35.77084603,127.4170449,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1427",1,,전라북도 진안군 진안읍 단양리 산 54,35.77326789,127.4272305,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1426",1,,전라북도 진안군 진안읍 군상리 55-7,35.80009092,127.4387202,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1425",1,,전라북도 진안군 진안읍 정곡리 594-1,35.80038192,127.3888706,,,063-430-2861,전라북도 진안군청,2022-11-29
"진안읍 1425",1,전라북도 진안군 진안읍 진무로 1225-8,전라북도 진안군 진안읍 군상리 125-2,35.79995808,127.437304,,,063-430-2861,전라북도 진안군청,2022-11-29
