"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
1정문횡단보도-1,1,,충청남도 계룡시 신도안면 석계리 1-5,36.31013678,127.237584,2017,전용주,042-840-2583,충청남도 계룡시,2023-07-14
1정문횡단보도-2,1,,충청남도 계룡시 신도안면 석계리 685-70,36.31037918,127.2256176,2017,전용주,042-840-2583,충청남도 계룡시,2023-07-14
1정문횡단보도-3,1,,충청남도 계룡시 신도안면 정장리 416-6,36.30850697,127.2352885,2017,전용주,042-840-2583,충청남도 계룡시,2023-07-14
1정문횡단보도-4,1,,충청남도 계룡시 신도안면 석계리 685-70,36.31037918,127.2256176,2017,전용주,042-840-2583,충청남도 계룡시,2023-07-14
kt,1,,충청남도 계룡시 신도안면 남선리 1226,36.30069604,127.2426728,2022,전용주,042-840-2583,충청남도 계룡시,2023-07-14
"계룡ic4가-1",1,,충청남도 계룡시 두마면 왕대리 195-1,36.25370159,127.2736164,2017,전용주,042-840-2583,충청남도 계룡시,2023-07-14
"계룡ic4가-2",1,,충청남도 계룡시 두마면 왕대리 195-4,36.25334161,127.272314,2017,전용주,042-840-2583,충청남도 계룡시,2023-07-14
"계룡ic4가-3",1,,충청남도 계룡시 두마면 왕대리 321-3,36.25341044,127.2721479,2017,전용주,042-840-2583,충청남도 계룡시,2023-07-14
"계룡ic4가-4",1,,충청남도 계룡시 두마면 왕대리 321-1,36.25368633,127.2724281,2017,전용주,042-840-2583,충청남도 계룡시,2023-07-14
"공원-번호미상2",1,,충청남도 계룡시 엄사면 엄사리 252-1,36.28878403,127.2375245,2019,전용주,042-840-2583,충청남도 계룡시,2023-07-14
"광석리 음료수공장 지나서 광석교 가기전 기존보안등 다음전주",1,,충청남도 계룡시 엄사면 광석리 183-14,36.26613167,127.2253607,2020,한전주,042-840-2583,충청남도 계룡시,2023-07-14
"광석리 음료수공장 지나서 첫번째 우측가기전 건물앞",1,,충청남도 계룡시 엄사면 광석리 163-2,36.26537579,127.2256186,2020,한전주,042-840-2583,충청남도 계룡시,2023-07-14
"금암 주공입구(2-074)",1,,충청남도 계룡시 금암동 467,36.27110076,127.2557115,2018,전용주,042-840-2583,충청남도 계룡시,2023-07-14
"금암 호남철도1",1,,충청남도 계룡시 금암동 410-4,36.27647995,127.2551797,2018,한전주,042-840-2583,충청남도 계룡시,2023-07-14
"금암-093",1,,충청남도 계룡시 금암동 산 34-7,36.27530373,127.2423549,2018,한전주,042-840-2583,충청남도 계룡시,2023-07-14
"금암1-711",1,,충청남도 계룡시 금암동 467,36.27110076,127.2557115,2020,전용주,042-840-2583,충청남도 계룡시,2023-07-14
"금암1-712",1,,충청남도 계룡시 금암동 467,36.27110076,127.2557115,2020,전용주,042-840-2583,충청남도 계룡시,2023-07-14
"금암동- 공영주차1",1,,충청남도 계룡시 금암동 166,36.27219196,127.251703,2018,전용주,042-840-2583,충청남도 계룡시,2023-07-14
"금암동- 공영주차2",1,,충청남도 계룡시 금암동 166,36.27219196,127.251703,2018,전용주,042-840-2583,충청남도 계룡시,2023-07-14
"금암동-105",1,,충청남도 계룡시 금암동 467,36.27110076,127.2557115,2018,전용주,042-840-2583,충청남도 계룡시,2023-07-14
"금암동-공영주차3",1,,충청남도 계룡시 금암동 166,36.27219196,127.251703,2018,전용주,042-840-2583,충청남도 계룡시,2023-07-14
"금암동001",1,,충청남도 계룡시 금암동 407-35,36.28199912,127.2513896,2015,전용주,042-840-2583,충청남도 계룡시,2023-07-14
"금암동002",1,,충청남도 계룡시 금암동 407-35,36.28199912,127.2513723,2015,한전주,042-840-2583,충청남도 계룡시,2023-07-14
"금암동003",1,,충청남도 계룡시 금암동 407-69,36.28178453,127.2521228,2015,한전주,042-840-2583,충청남도 계룡시,2023-07-14
