"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가야곡면 001",1,,충청남도 논산시 가야곡면 야촌리산 42-2,36.13834463,127.1495344,2017,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 002",1,,충청남도 논산시 가야곡면 야촌리299,36.13763144,127.1487077,2017,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 003",1,,충청남도 논산시 가야곡면 야촌리359-14,36.14144422,127.1504864,2017,전용주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 004",1,,충청남도 논산시 가야곡면 야촌리360-2,36.14195776,127.1506241,2018,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 007",1,,충청남도 논산시 가야곡면 야촌리58-5,36.14279051,127.1515500417,2018,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 008",1,,충청남도 논산시 가야곡면 야촌리46-2,36.14398197,127.1511667,2018,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 010",1,,충청남도 논산시 가야곡면 야촌리339,36.14086288,127.146215,2018,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 011",1,,충청남도 논산시 가야곡면 야촌리산 50-1,36.14146305,127.1456871,2017,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 012",1,,충청남도 논산시 가야곡면 삼전리531-1,36.10875006,127.1645152,2017,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 013",1,,충청남도 논산시 가야곡면 야촌리380-3,36.14377732,127.1474369,2017,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 014",1,,충청남도 논산시 가야곡면 야촌리650-3,36.14373671,127.1494605,2017,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 015",1,,충청남도 논산시 가야곡면 야촌리373-7,36.14471854,127.1497802,2018,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 017",1,,충청남도 논산시 가야곡면 야촌리41-1,36.14522466,127.1505328,2018,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 018",1,,충청남도 논산시 가야곡면 야촌리10-10,36.14679523,127.1534021,2017,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 019",1,,충청남도 논산시 가야곡면 강청리488-1,36.14802055,127.1550263,2017,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 020",1,,충청남도 논산시 가야곡면 강청리466-2,36.14594069,127.1557272,2018,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 021",1,,충청남도 논산시 가야곡면 강청리390-6,36.14549433,127.1564091,2018,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 022",1,,충청남도 논산시 가야곡면 강청리528-9,36.14586935,127.1583166,2017,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 023",1,,충청남도 논산시 가야곡면 강청리374-3,36.14728555,127.1597803,2017,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 024",1,,충청남도 논산시 가야곡면 두월리9-2,36.14740262,127.1578999,2017,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 025",1,,충청남도 논산시 가야곡면 등리722,36.14877175,127.1609424,2017,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 026",1,,충청남도 논산시 가야곡면 등리718-1,36.14791416,127.1653634,2017,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 027",1,,충청남도 논산시 가야곡면 두월리산 31-2,36.14880561,127.1475485,2017,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 028",1,,충청남도 논산시 가야곡면 두월리598-1,36.15146101,127.1489375,2018,한전주,041-746-6244,충청남도 논산시청,2023-07-21
"가야곡면 029",1,,충청남도 논산시 가야곡면 두월리35,36.14970754,127.1528235,2018,한전주,041-746-6244,충청남도 논산시청,2023-07-21
