"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"해미면T047",1,,충청남도 서산시 해미면 조산리 261-2,36.70973984,126.5375854,2022,한전주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T046",1,"충청남도 서산시 해미면 조산1길33-7, (조산리)",,36.71006584,126.5362474,2020,한전주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T043",1,"충청남도 서산시 해미면 조산세귀샘길43, (조산리)",,36.7087025,126.5411753,2019,한전주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T042",1,"충청남도 서산시 고북면 신성로46, (신상리)",,36.70285145,126.5387454,2013,한전주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T041",1,"충청남도 서산시 해미면 신성로32-7, (조산리)",,36.70314212,126.5396688,2013,한전주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T040",1,"충청남도 서산시 해미면 신성로24, (조산리)",,36.70269595,126.5407627,2013,한전주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T039",1,"충청남도 서산시 해미면 신성로18, (조산리)",,36.70266035,126.5415356,2013,한전주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T038",1,"충청남도 서산시 해미면 신성로12, (조산리)",,36.70257083,126.5423206,2013,한전주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T037",1,"충청남도 서산시 해미면 조산2길18, (조산리)",,36.71177283,126.536562,2013,전용주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T036",1,"충청남도 서산시 해미면 조산2길37, (조산리)",,36.71228986,126.5346383,2013,한전주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T035",1,"충청남도 서산시 해미면 조산2길34, (조산리)",,36.71235967,126.5351854,2013,한전주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T034",1,,충청남도 서산시 해미면 조산리 297-3,36.71210713,126.5365951169,2013,전용주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T033",1,"충청남도 서산시 해미면 조산1길34-7, (조산리)",,36.71088182,126.5359185,2013,전용주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T032",1,,충청남도 서산시 해미면 조산리 304-1,36.71288632,126.5354565835,2013,전용주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T031",1,"충청남도 서산시 해미면 성지2길9, (조산리, 인남)",,36.71221558,126.537393,2013,한전주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T030",1,"충청남도 서산시 해미면 성지2길21-4, (조산리)",,36.71313266,126.5364914,2013,한전주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T029",1,"충청남도 서산시 해미면 성지2길29, (조산리)",,36.71326093,126.5359294,2013,한전주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T028",1,,충청남도 서산시 해미면 전천리 363-2,36.71358897,126.5347591,2013,전용주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T027",1,,충청남도 서산시 해미면 전천리 363-2,36.71358897,126.5347591,2013,전용주,041-660-2389,충청남도 서산시청,2023-07-14
"해미면T026",1,,충청남도 서산시 해미면 전천리 363-2,36.71358897,126.5347591,2013,전용주,041-660-2389,충청남도 서산시청,2023-07-14
