"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"구표찰0257",1,,충청남도 아산시 영인면 아산리 432-16,36.8559548511,126.9541578601,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면001",1,,충청남도 아산시 도고면 와산리 53-1,36.7655191183,126.9235821654,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면002",1,,충청남도 아산시 도고면 와산리 52-5,36.7648122560,126.9233079245,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면003",1,,충청남도 아산시 도고면 와산리 57-1,36.7670576073,126.9227916508,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면004",1,,충청남도 아산시 도고면 와산리 242-5,36.7630995355,126.9169167220,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면005",1,,충청남도 아산시 도고면 와산리 245,36.7632141565,126.9159243774,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면006",1,,충청남도 아산시 도고면 와산리 437,36.7632758291,126.9171653151,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면007",1,,충청남도 아산시 도고면 와산리 433,36.7661850950,126.9143890727,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면008",1,,충청남도 아산시 도고면 와산리 287-1,36.7647979449,126.9149186111,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면010",1,,충청남도 아산시 도고면 와산리 433,36.7661850950,126.9143890727,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면011",1,,충청남도 아산시 도고면 와산리 433,36.7661850950,126.9143890727,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면012",1,,충청남도 아산시 도고면 와산리 317,36.7675986435,126.9158457677,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면013",1,,충청남도 아산시 도고면 와산리 68,36.7687532644,126.9180626321,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면014",1,,충청남도 아산시 도고면 와산리 434,36.7663624973,126.9135872947,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면015",1,,충청남도 아산시 도고면 와산리 323-1,36.7690282826,126.9165506635,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면016",1,,충청남도 아산시 도고면 와산리 432,36.7688555574,126.9162803374,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면017",1,,충청남도 아산시 도고면 와산리 338,36.7687920792,126.9159685606,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면018",1,,충청남도 아산시 도고면 와산리 357,36.7669340639,126.9144430349,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면019",1,,충청남도 아산시 도고면 와산리 357,36.7669340639,126.9144430349,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면020",1,,충청남도 아산시 도고면 와산리 437,36.7632758291,126.9171653151,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면022",1,,충청남도 아산시 도고면 와산리 217-2,36.7618954331,126.9165383619,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면023",1,,충청남도 아산시 도고면 와산리 426-10,36.7618587785,126.9173878138,,전용주,041-540-2943,충청남도 아산시,2023-04-18
"도고면024",1,,충청남도 아산시 도고면 와산리 222-1,36.7613565427,126.9146419503,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면025",1,,충청남도 아산시 도고면 향산리 21,36.7592896289,126.9111528682,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면026",1,,충청남도 아산시 도고면 향산리 160,36.7602493188,126.9103083570,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면027",1,,충청남도 아산시 도고면 향산리 157-2,36.7603671430,126.9107316702,,한전주,041-540-2943,충청남도 아산시,2023-04-18
"도고면028",1,,충청남도 아산시 도고면 향산리 157-3,36.7603671430,126.9107316702,,한전주,041-540-2943,충청남도 아산시,2023-04-18
