"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
503,1,,충청북도 단양군 단양읍 노동리 712-5,36.96700507,128.3646994,,전용주,043-420-3120,단양군청,2021-09-08
504,1,,충청북도 단양군 단양읍 노동리 661-1,,,,한전주,043-420-3120,단양군청,2021-09-08
505,1,,충청북도 단양군 단양읍 노동리 811,36.958054,128.374065,,한전주,043-420-3120,단양군청,2021-09-08
506,1,,충청북도 단양군 단양읍 노동리 295-3,36.957351,128.3757211,,한전주,043-420-3120,단양군청,2021-09-08
507,1,,충청북도 단양군 단양읍 노동리 299-1,36.957325,128.375094,,한전주,043-420-3120,단양군청,2021-09-08
508,1,,충청북도 단양군 단양읍 노동리 314,36.956745,128.375039,,전용주,043-420-3120,단양군청,2021-09-08
509,1,,충청북도 단양군 단양읍 노동리 316-1,36.955975,128.375165,,전용주,043-420-3120,단양군청,2021-09-08
510,1,,충청북도 단양군 단양읍 노동리 277,36.956158,128.374207,,전용주,043-420-3120,단양군청,2021-09-08
511,1,,충청북도 단양군 단양읍 노동리 335-1,36.9555135,128.373841,,한전주,043-420-3120,단양군청,2021-09-08
512,1,,충청북도 단양군 단양읍 노동리 341-2,36.955776,128.373025,,한전주,043-420-3120,단양군청,2021-09-08
513,1,,충청북도 단양군 단양읍 노동리 260-2,36.955717,128.372506,,한전주,043-420-3120,단양군청,2021-09-08
514,1,,충청북도 단양군 단양읍 노동리 260-12,36.956363,128.372391,,한전주,043-420-3120,단양군청,2021-09-08
515,1,,충청북도 단양군 단양읍 노동리 261-4,36.956165,128.372708,,한전주,043-420-3120,단양군청,2021-09-08
516,1,,충청북도 단양군 단양읍 노동리 605-1,36.952119,128.370661,,한전주,043-420-3120,단양군청,2021-09-08
517,1,,충청북도 단양군 단양읍 노동리 844,36.952304,128.370371,,한전주,043-420-3120,단양군청,2021-09-08
518,1,,충청북도 단양군 단양읍 노동리 626,36.952605,128.369915,,한전주,043-420-3120,단양군청,2021-09-08
519,1,,충청북도 단양군 단양읍 노동리 181,36.952754,128.382985,,전용주,043-420-3120,단양군청,2021-09-08
520,1,,충청북도 단양군 단양읍 노동리 181-3,36.953029,128.382861,,전용주,043-420-3120,단양군청,2021-09-08
521,1,,충청북도 단양군 단양읍 노동리 181,36.953483,128.381944,,전용주,043-420-3120,단양군청,2021-09-08
522,1,,충청북도 단양군 단양읍 노동리 118-2,36.954968,128.385336,,한전주,043-420-3120,단양군청,2021-09-08
