"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"가고리",1,,충청북도 보은군 산외면 가고리 112,36.59847705,127.7210984,,전용주,043-540-3456,충청북도 보은군청,2022-11-28
"가고리",1,,충청북도 보은군 산외면 가고리 128-3,36.59939194,127.7214584,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"가고리",1,,충청북도 보은군 산외면 가고리 129,36.59915035,127.7218661,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"가고리",1,,충청북도 보은군 산외면 가고리 195,36.59959255,127.7208957,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"가고리",1,,충청북도 보은군 산외면 가고리 189-1,36.59992599,127.7196049,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"가고리",1,,충청북도 보은군 산외면 가고리 71,36.59968948,127.7187729,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"가고리",1,,충청북도 보은군 산외면 가고리 105,36.59856285,127.7206513,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"가고리",1,,충청북도 보은군 산외면 가고리 197-1,36.59823624,127.7173815,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"가고리",1,,충청북도 보은군 산외면 가고리 132-5,36.59954453,127.7222137,,전용주,043-540-3456,충청북도 보은군청,2022-11-28
"가고리",1,,충청북도 보은군 산외면 가고리 19-1,36.60017502,127.7233556,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"가고리",1,,충청북도 보은군 산외면 가고리 8,36.60113621,127.7236705,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"가고리",1,,충청북도 보은군 산외면 가고리 145-1,36.59907871,127.7241244,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"가고리",1,,충청북도 보은군 산외면 가고리 139-1,36.59832091,127.7227372,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"가고리",1,,충청북도 보은군 산외면 가고리 189-6,36.59634657,127.7256978,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"가고리",1,,충청북도 보은군 산외면 가고리 189-1,36.59996231,127.7196049,,전용주,043-540-3456,충청북도 보은군청,2022-11-28
"가고리",1,,충청북도 보은군 산외면 가고리 산 2-3,36.59383711,127.7264023,,전용주,043-540-3456,충청북도 보은군청,2022-11-28
"가고리",1,,충청북도 보은군 산외면 가고리 185-1,36.59241486,127.727951,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"갈목리",1,,충청북도 보은군 속리산면 갈목리 50-1,36.49869156,127.8178567,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"갈목리",1,,충청북도 보은군 속리산면 갈목리 52-1,36.49885339,127.8172455,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"갈목리",1,,충청북도 보은군 속리산면 갈목리 41-6,36.49944305,127.8169861,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"갈목리",1,,충청북도 보은군 속리산면 갈목리 43-1,36.49937057,127.8166275,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"갈목리",1,,충청북도 보은군 속리산면 갈목리 84,36.50134751,127.8075935,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"갈목리",1,,충청북도 보은군 속리산면 갈목리 41-4,36.50003052,127.8168195,,한전주,043-540-3456,충청북도 보은군청,2022-11-28
"갈목리",1,,충청북도 보은군 속리산면 갈목리 34-2,36.4999394,127.8144501,,전용주,043-540-3456,충청북도 보은군청,2022-11-28
