"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
1-1022,1,충청북도 옥천군 옥천읍 옥천로 1560,충청북도 옥천군 옥천읍 금구리 202-9,36.3036687,127.5637299525,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-10222,1,,충청북도 옥천군 옥천읍 교동리 263-3,36.31671903,127.5919089,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-1027,1,,충청북도 옥천군 옥천읍 매화리19450,,,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-1028,1,,충청북도 옥천군 옥천읍 양수리 산 34-1,36.29394951,127.5489293,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-1045,1,충청북도 옥천군 옥천읍 중앙로7길 7,충청북도 옥천군 옥천읍 금구리 23-19,36.30143708,127.5700865,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-1050,1,,충청북도 옥천군 옥천읍 금구리 18-18,36.30124977,127.5696392,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-1051,1,충청북도 옥천군 옥천읍 금장로 47-6,충청북도 옥천군 옥천읍 금구리 18-19,36.30120621,127.5697808,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-1052,1,,충청북도 옥천군 옥천읍 금구리 18-18,36.30124977,127.5696392,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-1053,1,충청북도 옥천군 옥천읍 금장로 49,충청북도 옥천군 옥천읍 금구리 18-38,36.30110218,127.5695985,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-1054,1,,충청북도 옥천군 옥천읍 금구리 263-38,36.29910021,127.5714453,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-1055,1,,충청북도 옥천군 옥천읍 금구리 263-38,36.29910021,127.5714453,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-1056,1,충청북도 옥천군 옥천읍 신기5길 9-6,충청북도 옥천군 옥천읍 금구리 263-44,36.29882003,127.5715471,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-1057,1,,충청북도 옥천군 옥천읍 금구리17654,,,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-1058,1,,충청북도 옥천군 옥천읍 금구리17654,,,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-1060,1,,충청북도 옥천군 옥천읍 금구리 217-10,36.30549936,127.5626827,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-1061,1,,충청북도 옥천군 옥천읍 금구리 217-10,36.30549936,127.5626827,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-1062,1,,충청북도 옥천군 옥천읍 금구리 227-5,36.30521546,127.5626362,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
1-1063,1,,충청북도 옥천군 옥천읍 금구리 227-5,36.30521546,127.5626362,,,043-730-2463,충청북도 옥천군 농업기술센터,2023-08-04
