"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
"강제동 106-6",1,충청북도 제천시 원강저로 2321,충청북도 제천시 강제동 106-6,,,,,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 123",1,충청북도 제천시 원강저로 108,충청북도 제천시 강제동 123,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 156-3",1,충청북도 제천시 원강저로 3길 10,충청북도 제천시 강제동 156-3,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 157",1,충청북도 제천시 원강저로 3길 14,충청북도 제천시 강제동 157,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 157-24",1,충청북도 제천시 원강저로3길9-16,충청북도 제천시 강제동 157-24,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 161",1,충청북도 제천시 원강저로 3길 22,충청북도 제천시 강제동 161,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 163",1,충청북도 제천시 원강저로 3길 25,충청북도 제천시 강제동 163,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 165",1,충청북도 제천시 원강저로 1길 15,충청북도 제천시 강제동 165,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 167",1,충청북도 제천시 원강저로 1길 21,충청북도 제천시 강제동 167,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 170-1",1,충청북도 제천시 원강저로 1길 29,충청북도 제천시 강제동 170-1,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 174-2",1,충청북도 제천시 강저로 7길 59,충청북도 제천시 강제동 174-2,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 177-15",1,,충청북도 제천시 강제동 177-15,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 177-28",1,충청북도 제천시 강저로 7길 54-16,충청북도 제천시 강제동 177-28,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 177-34",1,충청북도 제천시 강저로 7길 54-2,충청북도 제천시 강제동 177-34,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 177-9",1,,충청북도 제천시 강제동 177-9,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 179-2",1,충청북도 제천시 강저로7길 65-1,충청북도 제천시 강제동 179-2,,,,,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 180-2",1,충청북도 제천시 강저로 5길 46,충청북도 제천시 강제동 180-2,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 187",1,충청북도 제천시 강저로 7길 76,충청북도 제천시 강제동 187,,,,,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 189-3",1,충청북도 제천시 강저로 7길 72,충청북도 제천시 강제동 189-3,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 190-1",1,충청북도 제천시 강저로 7길 92-12,충청북도 제천시 강제동 190-1,,,,,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 193",1,충청북도 제천시 강저로7길 92-5,충청북도 제천시 강제동 193,,,,,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 212-1",1,충청북도 제천시 강저로7길 89(제이에스전력 옆 농로),충청북도 제천시 강제동 212-1,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 214-14",1,충청북도 제천시 강저로 7길 89 (제이에스전력 앞),충청북도 제천시 강제동 214-14,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 231-2",1,충청북도 제천시 강저로 5길 16 (만트럭 서비스센터앞),충청북도 제천시 강제동 231-2,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 236-6",1,충청북도 제천시 강저로 7길 42,충청북도 제천시 강제동 236-6,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 236-7",1,충청북도 제천시 강저로 7길 21,충청북도 제천시 강제동 236-7,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 329",1,충청북도 제천시 강저로 6길 (농로변),충청북도 제천시 강제동 329,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 357-1",1,충청북도 제천시 강저로 6길 21,충청북도 제천시 강제동 357-1,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 365",1,충청북도 제천시 강저로 96,충청북도 제천시 강제동 365,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 368",1,충청북도 제천시 강저로 6길 7 (오창섭씨 앞),충청북도 제천시 강제동 368,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 371",1,충청북도 제천시 강저로 110 (대로변),충청북도 제천시 강제동 371,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 37-4",1,충청북도 제천시 단양로19길 2,충청북도 제천시 강제동 37-4,,,,한전주,043-641-4544,충청북도 제천시청 신백동,2023-01-02
"강제동 38-1",1,충청북도 제천시 단양로 19길 6,충청북도 제천시 강제동 38-1,,,,,043-641-4544,충청북도 제천시청 신백동,2023-01-02
"강제동 386-6",1,충청북도 제천시 강저로 7길 21,충청북도 제천시 강제동 386-6,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 398-2",1,충청북도 제천시 강저로 126,충청북도 제천시 강제동 398-2,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 404-1",1,충청북도 제천시 강저로 9안길 13,충청북도 제천시 강제동 404-1,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 404-3",1,충청북도 제천시 강저로 9안길 31,충청북도 제천시 강제동 404-3,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 41",1,충청북도 제천시 단양로 19길 22,충청북도 제천시 강제동 41,,,,한전주,043-641-4544,충청북도 제천시청 신백동,2023-01-02
"강제동 415-1",1,충청북도 제천시 강저로9길 55,충청북도 제천시 강제동 415-1,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 415-22",1,충청북도 제천시 강저로9길 65,충청북도 제천시 강제동 415-22,,,,,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 415-31",1,충청북도 제천시 강저로 9길 71-3,충청북도 제천시 강제동 415-31,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 415-38",1,충청북도 제천시 강저로 9길 77-1,충청북도 제천시 강제동 415-38,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 415-39",1,충청북도 제천시 강저로 9길 77-3,충청북도 제천시 강제동 415-39,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 42",1,충청북도 제천시 단양로 19길 26,충청북도 제천시 강제동 42,,,,한전주,043-641-4544,충청북도 제천시청 신백동,2023-01-02
"강제동 420-2",1,충청북도 제천시 강명 5길 27,충청북도 제천시 강제동 420-2,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 422-10",1,충청북도 제천시 강저로 9길 40,충청북도 제천시 강제동 422-10,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 424-3",1,충청북도 제천시 강저로 9길 43,충청북도 제천시 강제동 424-3,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 424-5",1,충청북도 제천시 강저로 9길 43-13,충청북도 제천시 강제동 424-5,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 424-8",1,충청북도 제천시 강저로 9길 43-7,충청북도 제천시 강제동 424-8,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 426-14",1,충청북도 제천시 강명 7길 56 (연세우유 앞),충청북도 제천시 강제동 426-14,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 426-2",1,충청북도 제천시 강명 3길56,충청북도 제천시 강제동 426-2,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 428-3",1,충청북도 제천시 강저로 9길 25,충청북도 제천시 강제동 428-3,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 430-20",1,충청북도 제천시 강저로 9길 19,충청북도 제천시 강제동 430-20,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 434-1",1,충청북도 제천시 강저로 9길 10,충청북도 제천시 강제동 434-1,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 444",1,충청북도 제천시 강명 3길 53-10 (햇살어린이집 앞),충청북도 제천시 강제동 444,,,,,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 447-3",1,충청북도 제천시 강명 3길 51-1,충청북도 제천시 강제동 447-3,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 447-4",1,충청북도 제천시 강명 3길 49,충청북도 제천시 강제동 447-4,,,,,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 448-2",1,,충청북도 제천시 강제동 448-2,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 448-6",1,충청북도 제천시 강명 3길 46-2,충청북도 제천시 강제동 448-6,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 455",1,충청북도 제천시 강명 3길 42-2,충청북도 제천시 강제동 455,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 456-1",1,충청북도 제천시 강명 3길 40,충청북도 제천시 강제동 456-1,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
"강제동 458-5",1,충청북도 제천시 강명 3길 41,충청북도 제천시 강제동 458-5,,,,한전주,043-641-4614,충청북도 제천시청 화산동,2023-01-02
