"보안등위치명",설치개수,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리기관전화번호,관리기관명,데이터기준일자
011-00001,1,,충청북도 증평군 증평읍 중동리 136,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00002,1,,충청북도 증평군 증평읍 중동리 136,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00003,1,,충청북도 증평군 증평읍 중동리 136,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00004,1,,충청북도 증평군 증평읍 중동리 7,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00005,1,,충청북도 증평군 증평읍 중동리 136,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00006,1,,충청북도 증평군 증평읍 중동리 15-2,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00007,1,,충청북도 증평군 증평읍 중동리 136,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00008,1,,충청북도 증평군 증평읍 중동리 136,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00009,1,,충청북도 증평군 증평읍 연탄리 227-6,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00010,1,,충청북도 증평군 증평읍 연탄리 227-14,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00011,1,,충청북도 증평군 증평읍 장동리 914,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00012,1,,충청북도 증평군 증평읍 창동리 118,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00013,1,,충청북도 증평군 증평읍 장동리 914,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00014,1,,충청북도 증평군 증평읍 장동리 914,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00015,1,,충청북도 증평군 증평읍 장동리 144,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00016,1,,충청북도 증평군 증평읍 장동리 144,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00017,1,,충청북도 증평군 증평읍 장동리 920,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00018,1,,충청북도 증평군 증평읍 장동리 156,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00019,1,,충청북도 증평군 증평읍 교동리 22-2,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00020,1,,충청북도 증평군 증평읍 교동리 204,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00021,1,,충청북도 증평군 증평읍 교동리 204,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00022,1,,충청북도 증평군 증평읍 교동리 204,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00023,1,,충청북도 증평군 증평읍 교동리 30-1,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00024,1,,충청북도 증평군 증평읍 교동리 204,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00025,1,,충청북도 증평군 증평읍 창동리 119,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00026,1,,충청북도 증평군 증평읍 창동리 213,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00027,1,,충청북도 증평군 증평읍 창동리 204,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00028,1,,충청북도 증평군 증평읍 창동리 225,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00029,1,,충청북도 증평군 증평읍 창동리 94-2,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00030,1,,충청북도 증평군 증평읍 창동리 94-2,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00031,1,,충청북도 증평군 증평읍 초중리 647,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00032,1,,충청북도 증평군 증평읍 초중리 30-2,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00033,1,,충청북도 증평군 증평읍 초중리 659,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00034,1,,충청북도 증평군 증평읍 초중리 659,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00035,1,,충청북도 증평군 증평읍 초중리 659,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00036,1,,충청북도 증평군 증평읍 초중리 659,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00037,1,,충청북도 증평군 증평읍 초중리 659,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00038,1,,충청북도 증평군 증평읍 초중리 659,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00039,1,,충청북도 증평군 증평읍 초중리 656,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00040,1,,충청북도 증평군 증평읍 초중리 659,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00041,1,,충청북도 증평군 증평읍 창동리 822,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00042,1,,충청북도 증평군 증평읍 창동리 66-2,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00043,1,,충청북도 증평군 증평읍 초중리 647,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00044,1,,충청북도 증평군 증평읍 창동리 66-2,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00045,1,,충청북도 증평군 증평읍 초중리 652,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00046,1,,충청북도 증평군 증평읍 장동리 246-1,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00047,1,,충청북도 증평군 증평읍 초중리 647,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00048,1,,충청북도 증평군 증평읍 초중리 583-4,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00049,1,,충청북도 증평군 증평읍 장동리 242,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00050,1,,충청북도 증평군 증평읍 장동리 203,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00051,1,,충청북도 증평군 증평읍 창동리 333,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00052,1,,충청북도 증평군 증평읍 창동리 822,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00053,1,,충청북도 증평군 증평읍 창동리 822,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00054,1,,충청북도 증평군 증평읍 창동리 158,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00055,1,,충청북도 증평군 증평읍 장동리 908,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00056,1,,충청북도 증평군 증평읍 초중리 640,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00057,1,,충청북도 증평군 증평읍 초중리 568-8,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00058,1,,충청북도 증평군 증평읍 초중리 640,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00059,1,,충청북도 증평군 증평읍 초중리 640,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00060,1,,충청북도 증평군 증평읍 초중리 640,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00061,1,,충청북도 증평군 증평읍 초중리 640,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00062,1,,충청북도 증평군 증평읍 초중리 652,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00063,1,,충청북도 증평군 증평읍 초중리 652,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00064,1,,충청북도 증평군 증평읍 초중리 666,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00065,1,,충청북도 증평군 증평읍 초중리 605-7,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00066,1,,충청북도 증평군 증평읍 초중리 666,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00067,1,,충청북도 증평군 증평읍 초중리 605-9,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00068,1,,충청북도 증평군 증평읍 초중리 666,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00069,1,,충청북도 증평군 증평읍 초중리 656,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00070,1,,충청북도 증평군 증평읍 초중리 656,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00071,1,,충청북도 증평군 증평읍 초중리 656,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00072,1,,충청북도 증평군 증평읍 초중리 659,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00073,1,,충청북도 증평군 증평읍 초중리 652,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00074,1,,충청북도 증평군 증평읍 초중리 656,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00075,1,,충청북도 증평군 증평읍 초중리 656,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00076,1,,충청북도 증평군 증평읍 초중리 656,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00077,1,,충청북도 증평군 증평읍 초중리 666,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00078,1,,충청북도 증평군 증평읍 초중리 666,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00079,1,,충청북도 증평군 증평읍 초중리 405-5,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00080,1,,충청북도 증평군 증평읍 초중리 405-6,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00081,1,,충청북도 증평군 증평읍 초중리 407-5,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00082,1,,충청북도 증평군 증평읍 초중리 407-5,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00083,1,,충청북도 증평군 증평읍 초중리 409-3,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00084,1,,충청북도 증평군 증평읍 초중리 411-5,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00085,1,,충청북도 증평군 증평읍 초중리 411-5,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00086,1,,충청북도 증평군 증평읍 초중리 412-4,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00087,1,,충청북도 증평군 증평읍 초중리 414-4,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00088,1,,충청북도 증평군 증평읍 초중리 633,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00089,1,,충청북도 증평군 증평읍 초중리 633,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00090,1,,충청북도 증평군 증평읍 초중리 633,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
011-00091,1,,충청북도 증평군 증평읍 초중리 633,,,2012,전용주,043-835-3815,충청북도 증평군청,2022-08-26
